date,distance_km,utes_driven,day_of_week,is_weekend,month,seasonal_scalar,days_in_business,is_holiday,midday_temp,weather_category,wind_speed
2023-11-11,138.687,2,7,1,11,0.94599,0,0,31.9,0,5.7
2023-11-12,64.542,1,1,1,11,0.94203,1,0,32.1,0,4.1
2023-11-13,66.864,1,2,0,11,0.93795,2,0,27.9,0,4.6
2023-11-14,204.671,2,3,0,11,0.93373,3,0,35.5,0,1.3
2023-11-15,122.865,1,4,0,11,0.92938,4,0,26.9,-50,5.7
2023-11-16,63.936,1,5,0,11,0.92491,5,0,32.4,50,0.9
2023-11-17,0.0,0,6,0,11,0.92031,6,0,31.4,0,4.6
2023-11-18,200.496,3,7,1,11,0.91559,7,0,28.6,-50,5.1
2023-11-19,32.492,1,1,1,11,0.91074,8,0,29.3,0,5.7
2023-11-20,75.167,1,2,0,11,0.90577,9,0,28.0,0,1.8
2023-11-21,0.0,0,3,0,11,0.90068,10,0,29.0,0,4.1
2023-11-22,80.409,2,4,0,11,0.89547,11,0,31.4,0,1.3
2023-11-23,39.825,2,5,0,11,0.89015,12,0,26.8,0,3.1
2023-11-24,75.433,3,6,0,11,0.88471,13,0,29.9,-50,4.6
2023-11-25,131.547,2,7,1,11,0.87915,14,0,31.8,0,2.2
2023-11-26,14.922,1,1,1,11,0.87349,15,0,23.7,-50,3.6
2023-11-27,153.24,2,2,0,11,0.86771,16,0,28.3,-50,6.7
2023-11-28,16.604,1,3,0,11,0.86182,17,0,24.8,0,4.1
2023-11-29,14.985,1,4,0,11,0.85583,18,0,27.5,0,4.1
2023-11-30,0.129,1,5,0,11,0.84973,19,0,26.2,0,4.6
2023-12-01,175.073,2,6,0,12,0.84353,20,0,25.0,-50,7.2
2023-12-02,206.075,3,7,1,12,0.83722,21,0,21.0,-50,2.6
2023-12-03,58.383,1,1,1,12,0.83082,22,0,26.7,-50,4.1
2023-12-04,0.0,0,2,0,12,0.82431,23,0,25.1,-50,4.6
2023-12-05,0.0,0,3,0,12,0.81772,24,0,23.1,0,1.5
2023-12-06,0.0,0,4,0,12,0.81102,25,0,27.4,0,3.6
2023-12-07,87.256,2,5,0,12,0.80424,26,0,25.9,0,4.1
2023-12-08,171.925,1,6,0,12,0.79736,27,0,26.6,0,4.6
2023-12-09,134.755,3,7,1,12,0.7904,28,0,23.7,-50,3.1
2023-12-10,123.707,3,1,1,12,0.78335,29,0,25.6,0,2.1
2023-12-11,108.8,2,2,0,12,0.77622,30,0,23.6,-50,5.1
2023-12-12,16.625,1,3,0,12,0.769,31,0,24.4,0,5.1
2023-12-13,72.719,2,4,0,12,0.76171,32,0,23.9,0,2.2
2023-12-14,5.803,1,5,0,12,0.75434,33,0,21.9,0,5.7
2023-12-15,43.693,1,6,0,12,0.74689,34,0,23.9,-50,2.6
2023-12-16,199.849,3,7,1,12,0.73937,35,0,24.5,0,3.6
2023-12-17,104.183,3,1,1,12,0.73178,36,0,23.8,0,3.6
2023-12-18,14.611,1,2,0,12,0.72411,37,0,18.2,0,5.1
2023-12-19,266.527,3,3,0,12,0.71639,38,0,19.9,0,2.1
2023-12-20,296.661,3,4,0,12,0.7086,39,0,20.9,-50,5.1
2023-12-21,82.799,2,5,0,12,0.70074,40,0,19.3,50,2.6
2023-12-22,55.63,2,6,0,12,0.69283,41,0,20.4,-50,4.6
2023-12-23,6.075,1,7,1,12,0.68486,42,0,19.6,50,4.1
2023-12-24,58.381,1,1,1,12,0.67684,43,1,18.6,50,6.2
2023-12-25,0.0,0,2,0,12,0.66876,44,1,19.0,50,4.1
2023-12-26,0.0,0,3,0,12,0.66063,45,1,16.2,50,6.2
2023-12-27,0.0,0,4,0,12,0.65246,46,0,22.7,0,3.1
2023-12-28,118.801,1,5,0,12,0.64424,47,0,21.9,0,3.6
2023-12-29,188.386,3,6,0,12,0.63598,48,0,19.4,0,5.7
2023-12-30,86.635,2,7,1,12,0.62768,49,0,19.8,-50,5.1
2023-12-31,0.0,0,1,1,12,0.61934,50,0,21.9,0,4.1
2024-01-01,0.0,0,2,0,1,0.61096,51,1,16.9,50,10.8
2024-01-02,0.0,0,3,0,1,0.60255,52,0,18.4,50,4.6
2024-01-03,88.82,2,4,0,1,0.59411,53,0,19.4,50,3.1
2024-01-04,0.0,0,5,0,1,0.58565,54,0,19.3,0,7.7
2024-01-05,0.0,0,6,0,1,0.57715,55,0,20.9,0,3.6
2024-01-06,363.835,3,7,1,1,0.56864,56,0,20.8,0,4.1
2024-01-07,949.339,3,1,1,1,0.5601,57,0,19.9,0,0.9
2024-01-08,322.612,3,2,0,1,0.55155,58,0,19.5,-50,8.2
2024-01-09,231.007,3,3,0,1,0.54298,59,0,23.2,0,2.6
2024-01-10,285.83,3,4,0,1,0.5344,60,0,22.6,50,7.2
2024-01-11,192.533,1,5,0,1,0.52581,61,0,25.2,0,2.2
2024-01-12,0.0,0,6,0,1,0.51721,62,0,24.3,0,3.6
2024-01-13,213.532,3,7,1,1,0.50861,63,0,27.5,0,0.9
2024-01-14,76.884,2,1,1,1,0.5,64,0,30.4,50,1.3
2024-01-15,0.0,0,2,0,1,0.49139,65,0,31.3,50,3.6
2024-01-16,96.83,1,3,0,1,0.48279,66,0,22.3,0,3.6
2024-01-17,201.054,1,4,0,1,0.47419,67,0,27.9,50,1.8
2024-01-18,263.994,3,5,0,1,0.4656,68,0,26.7,0,2.7
2024-01-19,140.07,2,6,0,1,0.45702,69,0,22.1,50,4.6
2024-01-20,265.035,3,7,1,1,0.44845,70,0,29.5,50,1.3
2024-01-21,328.233,2,1,1,1,0.4399,71,0,26.7,50,5.7
2024-01-22,86.761,2,2,0,1,0.43136,72,0,16.6,-50,7.8
2024-01-23,219.637,3,3,0,1,0.42285,73,0,23.1,0,5.7
2024-01-24,142.003,2,4,0,1,0.41435,74,0,32.7,0,1.8
2024-01-25,238.845,3,5,0,1,0.40589,75,0,18.2,-50,1.8
2024-01-26,94.557,1,6,0,1,0.39745,76,1,23.0,0,5.1
2024-01-27,137.932,2,7,1,1,0.38904,77,0,27.0,0,8.2
2024-01-28,202.016,2,1,1,1,0.38066,78,0,27.1,0,4.6
2024-01-29,272.639,3,2,0,1,0.37232,79,0,24.7,0,5.1
2024-01-30,106.858,1,3,0,1,0.36402,80,0,26.2,-50,5.7
2024-01-31,226.828,3,4,0,1,0.35576,81,0,28.0,0,5.7
2024-02-01,456.799,3,5,0,2,0.34754,82,0,33.3,0,3.1
2024-02-02,278.432,3,6,0,2,0.33937,83,0,30.3,0,0.9
2024-02-03,167.962,3,7,1,2,0.33124,84,0,28.2,-50,5.1
2024-02-04,176.333,3,1,1,2,0.32316,85,0,21.8,-50,2.1
2024-02-05,19.078,1,2,0,2,0.31514,86,0,25.4,0,5.1
2024-02-06,27.599,1,3,0,2,0.30717,87,0,28.4,-50,5.7
2024-02-07,141.218,1,4,0,2,0.29926,88,0,26.2,-50,7.7
2024-02-08,50.233,1,5,0,2,0.2914,89,0,30.1,-50,5.1
2024-02-09,152.759,2,6,0,2,0.28361,90,0,29.8,-50,4.1
2024-02-10,130.533,3,7,1,2,0.27589,91,0,30.7,0,1.8
2024-02-11,219.058,3,1,1,2,0.26822,92,0,30.0,0,4.6
2024-02-12,73.087,3,2,0,2,0.26063,93,0,30.9,0,0.9
2024-02-13,178.849,1,3,0,2,0.25311,94,0,29.3,0,2.2
2024-02-14,0.0,0,4,0,2,0.24566,95,0,30.0,-50,5.1
2024-02-15,296.413,1,5,0,2,0.23829,96,0,25.6,-50,3.1
2024-02-16,203.45,3,6,0,2,0.231,97,0,29.3,0,5.7
2024-02-17,169.817,3,7,1,2,0.22378,98,0,24.5,-30,4.6
2024-02-18,280.852,3,1,1,2,0.21665,99,0,29.0,-50,3.6
2024-02-19,88.698,1,2,0,2,0.2096,100,0,34.2,0,4.1
2024-02-20,31.181,1,3,0,2,0.20264,101,0,27.7,-50,4.6
2024-02-21,0.0,0,4,0,2,0.19576,102,0,29.9,-50,7.2
2024-02-22,70.138,2,5,0,2,0.18898,103,0,27.2,0,4.1
2024-02-23,270.407,3,6,0,2,0.18228,104,0,29.4,0,3.6
2024-02-24,120.226,2,7,1,2,0.17569,105,0,28.4,0,5.7
2024-02-25,207.314,2,1,1,2,0.16918,106,0,27.5,-50,5.1
2024-02-26,86.949,2,2,0,2,0.16278,107,0,29.0,0,8.2
2024-02-27,236.284,2,3,0,2,0.15647,108,0,29.1,0,8.2
2024-02-28,272.898,2,4,0,2,0.15027,109,0,30.4,0,6.7
2024-02-29,197.082,2,5,0,2,0.14417,110,0,27.6,0,8.9
2024-03-01,159.17,2,6,0,3,0.13818,111,0,27.7,0,5.1
2024-03-02,296.095,1,7,1,3,0.13229,112,0,30.8,0,4.1
2024-03-03,105.058,2,1,1,3,0.12651,113,0,28.7,-50,4.1
2024-03-04,296.811,2,2,0,3,0.12085,114,0,23.2,-50,4.6
2024-03-05,100.148,2,3,0,3,0.11529,115,0,25.8,-50,5.1
2024-03-06,80.908,2,4,0,3,0.10985,116,0,28.2,0,4.6
2024-03-07,123.215,1,5,0,3,0.10453,117,0,25.9,0,4.6
2024-03-08,251.992,2,6,0,3,0.09932,118,0,25.3,-50,7.2
2024-03-09,9.578,1,7,1,3,0.09423,119,0,26.1,0,3.6
2024-03-10,53.889,1,1,1,3,0.08926,120,0,28.0,0,5.7
2024-03-11,87.85,2,2,0,3,0.08441,121,0,22.7,-50,4.1
2024-03-12,89.95,2,3,0,3,0.07969,122,0,25.8,0,4.1
2024-03-13,111.167,2,4,0,3,0.07509,123,0,23.5,-50,4.6
2024-03-14,93.29,1,5,0,3,0.07062,124,0,24.9,50,3.6
2024-03-15,160.025,2,6,0,3,0.06627,125,0,20.9,-50,3.1
